w_vec;b44_vec
0.05;-179832.6422
0.1;9261.564125
0.15;232581.8246
0.2;895017.4656
0.25;2704753.123
0.3;6191705.334
0.35;13533870.1
0.4;23679963.41
0.45;44234845.91
0.5;70065529.29
0.55;101665250.2
0.6;152681005.3
0.65;207424759.4
0.7;260944349.4
0.75;307624432.1
0.8;353567493.9
0.85;396904960.6
0.9;424892734.5
0.95;432249704
1;434757357.7
1.05;435416937.7
1.1;433616427.7
1.15;429958409.2
1.2;424729495.7
1.25;372009193.5
1.3;310374201.1
1.35;250549153.9
1.4;195846109.7
1.45;178189471.8
1.5;130559443.4
1.55;86691240.25
1.6;51432901
1.65;7959140.311
1.7;16040451.13
1.75;15616882.44
1.8;1047770.86
1.85;-18133637.82
1.9;-37903591.24
1.95;-55783495.4
2;-64470295.5
2.05;-66948305.2
2.1;-60764357.57
2.15;-48949060.13
2.2;-37917210.33
2.25;-18377588.89
2.3;1145074.159
2.35;20505555.98
2.4;28796355.42
2.45;37227007.72
2.5;40496129.69
