x;H;sigma;C;a0;a1;a3;As;Ts;bwl
-4;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
0;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
2.375;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
4.75;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
7.125;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
23.75;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
38;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
47.5;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
57;3.3958;0.8279;4.0505;13.1471;0.2521;-0.0253;253.7244;9.5;32.26
66.5;3.3958;0.8908;4.1252;13.6751;0.2424;-0.0629;273.0054;9.5;32.26
80.75;3.3958;0.9252;4.1661;13.9861;0.237;-0.0837;283.5413;9.5;32.26
109.55;3.3958;0.9252;4.1661;13.9861;0.237;-0.0837;283.5413;9.5;32.26
123.8;3.3958;0.9088;4.1467;13.8361;0.2396;-0.0738;278.5342;9.5;32.26
133.3;3.3958;0.8737;4.1049;13.5269;0.2451;-0.0526;267.7703;9.5;32.26
142.8;3.378;0.8173;4.038;13.0202;0.2514;-0.019;249.1773;9.5;32.0908
161.8;3.0415;0.6975;3.8929;11.3634;0.2177;0.0537;191.4665;9.5;28.8944
171.3;2.6697;0.6505;3.8318;10.2252;0.1555;0.0846;156.7309;9.5;25.3621
185.55;1.8835;0.6084;3.7749;8.2813;-0.0334;0.1138;103.4239;9.5;17.8934
195.05;1.2693;0.619;3.7987;7.0491;-0.2462;0.1015;70.9109;9.5;12.0583
204.55;0.6688;0.7541;3.9701;6.2449;-0.5063;0.015;45.5152;9.5;6.3533
209.3;0.4086;1.0019;4.1553;6.2058;-0.6091;-0.0782;36.9437;9.5;3.8815
214.05;0.1705;2.0474;4.4652;7.051;-0.6161;-0.2691;31.4898;9.498;1.6193
218.8;0.1705;2.0474;4.4652;7.051;-0.6161;-0.2691;31.4898;9.498;1.6193
223.3;0.1705;2.0474;4.4652;7.051;-0.6161;-0.2691;31.4898;9.498;1.6193
223.8;0.1705;2.0474;4.4652;7.051;-0.6161;-0.2691;31.4898;9.498;1.6193
